SMILES,matched_by,matched_query,pubchem_cid,MW,nHBAcc,ALogP,FMF,HybRatio,nAcid,S1,S2,S3,S4,S5,S6
C1C(C2=CC=CC=C2C1=O)C(=O)O,Name,3-oxoindane-1-carboxylic acid,99815,176.1690998,3,1.0545,0.428571429,0.2,1,12820559.68,17381951.98,14994810.88,19547895.13,26902156.57,22405206.91
C1=C(NC=N1)CC(C(=O)O)N,Name,L-Histidine,6274,155.1548016,4,-1.1525,0.25,0.333333333,1,32126235.53,39285096.85,62945533.52,29888020.13,116343476.1,157186783.3
COC1=C(C2=C(CC3C4=CC(=C(C=C4CCN3C2)OC)OC)C=C1)OC,Name,"3,4,10,11-tetramethoxy-7,8,12b,13-tetrahydro-5H-6-azatetraphene",5417,355.4282956,1,3.5996,0.352941176,0.428571429,0,441858.0216,684601.2433,1565110.685,923568.3147,804314.2401,1370853.964
C1=CC2=C(C=CN2)C=C1O,Name,5-Hydroxyindole,16054,133.1475806,1,1.8561,0.529411765,0,0,4454219.725,14861861.63,15879065.03,28035718.96,27742120.7,33062118.32
COC1=CC(=CC(=C1)O)CCC2=CC(=CC=C2)O,Name,3-[2-(3-Hydroxyphenyl)ethyl]-5-methoxyphenol,10466989,244.2863053,2,3.7096,0.411764706,0.2,0,2597054.617,2180939.183,1451102.493,1669570.79,1595500.484,1526472.799
,,,,,,,,,,386467.8925,1425494.635,2724185.717,533798.4559,489795.1505,474043.1468
C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,Name,Kaempferol,5280863,286.2368756,5,2.7596,0.516129032,0,0,538529.2962,1500706.451,1496853.774,3842498.908,17576759.68,4906988.747
CCCCCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(=O)C,Name,Hydroxyprogesterone caproate,169870,428.6051191,4,5.2595,0.23943662,0.814814815,0,904821.2573,1234733.628,1194894.896,3399966.241,1328257.157,1383837.803
CCCCCCCCCCCCCCCC(C(CO)N)O,Name,"2-Amino-1,3-octadecanediol",3126,301.5084486,3,5.1341,0,1,0,9188397.888,18672288.39,49974340.99,10226733.46,16024178.32,14296872.02
CC1=C(OC(=CC1=O)C(=O)O)C,Name,"5,6-dimethyl-4-oxo-4H-pyran-2-carboxylic acid",2786724,168.1470329,3,1.3471,0.3,0.25,1,19458459.03,19871954.22,16384453.76,11238556.36,22053414.91,17299190.97
CC1=C(SC=N1)CCO,Name,4-Methyl-5-thiazoleethanol,1136,143.2080753,2,0.2898,0.277777778,0.5,0,2019856.913,11703184.5,18221513.79,56705061.71,36308224.37,86004183.74
