EC_Number,Taxonomy,Genus,Species,Microbe,Reaction_ID,Reaction_Name,Definition,Equation,Reactants,Products,Reactants_With_Formula,Products_With_Formula,hit,matched_exudates,matched_side,matched_compounds_in_rxn
2.7.1.48,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__unclassified_Betaproteobacteria;f__unclassified_Betaproteobacteria;g__unclassified_Betaproteobacteria;s__Betaproteobacteria_bacterium_ADurb.Bin341,unclassified Betaproteobacteria,Betaproteobacteria bacterium ADurb.Bin341,Betaproteobacteria bacterium ADurb.Bin341,R00513,ATP:cytidine 5'-phosphotransferase,ATP + Cytidine <=> ADP + CMP,C00002 + C00475 <=> C00008 + C00055,C00002; C00475,C00008; C00055,C00002; C00475 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C00055 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.48,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__unclassified_Betaproteobacteria;f__unclassified_Betaproteobacteria;g__unclassified_Betaproteobacteria;s__Betaproteobacteria_bacterium_ADurb.Bin341,unclassified Betaproteobacteria,Betaproteobacteria bacterium ADurb.Bin341,Betaproteobacteria bacterium ADurb.Bin341,R00517,GTP:cytidine 5'-phosphotransferase,GTP + Cytidine <=> GDP + CMP,C00044 + C00475 <=> C00035 + C00055,C00044; C00475,C00035; C00055,C00044; C00475 [C10H16N5O14P3 | GTP; Guanosine 5'-triphosphate],C00035; C00055 [C10H15N5O11P2 | GDP; Guanosine 5'-diphosphate; Guanosine diphosphate],TRUE,Guanosine 5'-diphosphate,Product,Guanosine 5'-diphosphate
2.7.1.48,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__unclassified_Betaproteobacteria;f__unclassified_Betaproteobacteria;g__unclassified_Betaproteobacteria;s__Betaproteobacteria_bacterium_ADurb.Bin341,unclassified Betaproteobacteria,Betaproteobacteria bacterium ADurb.Bin341,Betaproteobacteria bacterium ADurb.Bin341,R00964,ATP:uridine 5'-phosphotransferase,ATP + Uridine <=> ADP + UMP,C00002 + C00299 <=> C00008 + C00105,C00002; C00299,C00008; C00105,C00002; C00299 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C00105 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.48,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__unclassified_Betaproteobacteria;f__unclassified_Betaproteobacteria;g__unclassified_Betaproteobacteria;s__Betaproteobacteria_bacterium_ADurb.Bin341,unclassified Betaproteobacteria,Betaproteobacteria bacterium ADurb.Bin341,Betaproteobacteria bacterium ADurb.Bin341,R00968,GTP:uridine 5'-phosphotransferase,GTP + Uridine <=> GDP + UMP,C00044 + C00299 <=> C00035 + C00105,C00044; C00299,C00035; C00105,C00044; C00299 [C10H16N5O14P3 | GTP; Guanosine 5'-triphosphate],C00035; C00105 [C10H15N5O11P2 | GDP; Guanosine 5'-diphosphate; Guanosine diphosphate],TRUE,Guanosine 5'-diphosphate,Product,Guanosine 5'-diphosphate
2.7.1.49,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__unclassified_Pseudomonas,Pseudomonas,unclassified Pseudomonas,unclassified Pseudomonas,R03471,ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase,ATP + 4-Amino-5-hydroxymethyl-2-methylpyrimidine <=> ADP + 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine,C00002 + C01279 <=> C00008 + C04556,C00002; C01279,C00008; C04556,C00002; C01279 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C04556 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.5,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__unclassified_Deltaproteobacteria;f__unclassified_Deltaproteobacteria;g__unclassified_Deltaproteobacteria;s__Deltaproteobacteria_bacterium_RBG_16_49_23,unclassified Deltaproteobacteria,Deltaproteobacteria bacterium RBG 16 49 23,Deltaproteobacteria bacterium RBG 16 49 23,R01902,ATP:L-xylulose 1-phosphotransferase,ATP + L-Xylulose <=> ADP + L-Xylulose 1-phosphate,C00002 + C00312 <=> C00008 + C06441,C00002; C00312,C00008; C06441,C00002; C00312 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C06441 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.5,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__unclassified_Deltaproteobacteria;f__unclassified_Deltaproteobacteria;g__unclassified_Deltaproteobacteria;s__Deltaproteobacteria_bacterium_RBG_16_49_23,unclassified Deltaproteobacteria,Deltaproteobacteria bacterium RBG 16 49 23,Deltaproteobacteria bacterium RBG 16 49 23,R03014,ATP:L-rhamnulose 1-phosphotransferase,ATP + L-Rhamnulose <=> ADP + L-Rhamnulose 1-phosphate,C00002 + C00861 <=> C00008 + C01131,C00002; C00861,C00008; C01131,C00002; C00861 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C01131 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.50,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp.,Actinomyces,Actinomyces sp.,Actinomyces sp.,R04448,ATP:4-methyl-5-(2-hydroxyethyl)thiazole 2-phosphotransferase,ATP + 5-(2-Hydroxyethyl)-4-methylthiazole <=> ADP + 4-Methyl-5-(2-phosphooxyethyl)thiazole,C00002 + C04294 <=> C00008 + C04327,C00002; C04294,C00008; C04327,C00002; C04294 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C04327 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.51,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Streptosporangiales;f__Thermomonosporaceae;g__Thermostaphylospora;s__Thermostaphylospora_chromogena,Thermostaphylospora,Thermostaphylospora chromogena,Thermostaphylospora chromogena,R03241,ATP:L-fuculose 1-phosphotransferase,ATP + L-Fuculose <=> ADP + L-Fuculose 1-phosphate,C00002 + C01721 <=> C00008 + C01099,C00002; C01721,C00008; C01099,C00002; C01721 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C01099 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.51,k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Streptosporangiales;f__Thermomonosporaceae;g__Thermostaphylospora;s__Thermostaphylospora_chromogena,Thermostaphylospora,Thermostaphylospora chromogena,Thermostaphylospora chromogena,R12695,ATP:D-ribulose 1-phosphotransferase,ATP + D-Ribulose <=> ADP + D-Ribulose 1-phosphate,C00002 + C00309 <=> C00008 + C22337,C00002; C00309,C00008; C22337,C00002; C00309 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C22337 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
2.7.1.53,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Duganella;s__unclassified_Duganella,Duganella,unclassified Duganella,unclassified Duganella,R01901,ATP:L-xylulose 5-phosphotransferase,ATP + L-Xylulose <=> ADP + L-Xylulose 5-phosphate,C00002 + C00312 <=> C00008 + C03291,C00002; C00312,C00008; C03291,C00002; C00312 [C10H16N5O13P3 | ATP; Adenosine 5'-triphosphate],C00008; C03291 [C10H15N5O10P2 | ADP; Adenosine 5'-diphosphate],TRUE,ATP,Reactant,ATP
