EC_Number,Taxonomy,Genus,Species,Microbe,Reaction_ID,Reaction_Name,Definition,Equation,Reactants,Products,Reactants_With_Formula,Products_With_Formula,hit,matched_exudates,matched_side,matched_compounds_in_rxn
1.1.1.184,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methyloferula;s__Methyloferula_stellata,Methyloferula,Methyloferula stellata,Methyloferula stellata,R09420,carbonyl reductase,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone + NADPH + H+ <=> 4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol + NADP+,C16453 + C00005 + C00080 <=> C19574 + C00006,C16453; C00005; C00080,C19574; C00006,C16453; C00005; C00080 [C10H13N3O2 | 4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone; NNK],C19574; C00006 [C10H15N3O2 | 4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol; NNAL],TRUE,NNK,Reactant,NNK
1.1.1.195,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__unclassified_Rhodospirillaceae;s__Rhodospirillaceae_bacterium,unclassified Rhodospirillaceae,Rhodospirillaceae bacterium,Rhodospirillaceae bacterium,R02593,coniferyl alcohol:NADP+ oxidoreductase,Coniferyl alcohol + NADP+ <=> Coniferyl aldehyde + NADPH + H+,C00590 + C00006 <=> C02666 + C00005 + C00080,C00590; C00006,C02666; C00005; C00080,C00590; C00006 [C10H12O3 | Coniferyl alcohol; Coniferol; 4-(3-Hydroxy-1-propenyl)-2-methoxyphenol; trans-Coniferyl alcohol],C02666; C00005; C00080 [C10H10O3 | Coniferyl aldehyde; Coniferaldehyde; 4-Hydroxy-3-methoxycinnamaldehyde; Ferulaldehyde],TRUE,Ferulaldehyde,Product,Ferulaldehyde
1.1.1.195,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__unclassified_Rhodospirillaceae;s__Rhodospirillaceae_bacterium,unclassified Rhodospirillaceae,Rhodospirillaceae bacterium,Rhodospirillaceae bacterium,R03054,cinnamyl-alcohol:NADP+ oxidoreductase,Cinnamaldehyde + NADPH + H+ <=> Cinnamyl alcohol + NADP+,C00903 + C00005 + C00080 <=> C02394 + C00006,C00903; C00005; C00080,C02394; C00006,C00903; C00005; C00080 [C9H8O | Cinnamaldehyde],C02394; C00006 [C9H10O | Cinnamyl alcohol; 3-Phenyl-2-propen-1-ol; Styrylcarbinol],TRUE,Cinnamaldehyde,Reactant,Cinnamaldehyde
1.1.1.195,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__unclassified_Rhodospirillaceae;s__Rhodospirillaceae_bacterium,unclassified Rhodospirillaceae,Rhodospirillaceae bacterium,Rhodospirillaceae bacterium,R03918,sinapyl alcohol:NADP+ oxidoreductase,Sinapyl alcohol + NADP+ <=> Sinapoyl aldehyde + NADPH + H+,C02325 + C00006 <=> C05610 + C00005 + C00080,C02325; C00006,C05610; C00005; C00080,C02325; C00006 [C11H14O4 | Sinapyl alcohol; Sinapoyl alcohol],C05610; C00005; C00080 [C11H12O4 | Sinapoyl aldehyde; Sinapaldehyde],TRUE,Sinapyl Alcohol,Reactant,Sinapyl alcohol
1.1.1.2,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__unclassified_Bradyrhizobium,Bradyrhizobium,unclassified Bradyrhizobium,unclassified Bradyrhizobium,R02247,(R)-mevalonate:NADP+ oxidoreductase,(R)-Mevalonate + NADP+ <=> Mevaldate + NADPH + H+,C00418 + C00006 <=> C00772 + C00005 + C00080,C00418; C00006,C00772; C00005; C00080,"C00418; C00006 [C6H12O4 | (R)-Mevalonate; Mevalonic acid; 3,5-Dihydroxy-3-methylvaleric acid; (3R)-3,5-Dihydroxy-3-methylpentanoic acid; (R)-Mevalonic acid]",C00772; C00005; C00080 [C6H10O4 | Mevaldate; Mevaldic acid],TRUE,Mevalonic acid,Reactant,Mevalonic acid
1.1.1.205,k__Bacteria;p__unclassified_Bacteria;c__unclassified_Bacteria;o__unclassified_Bacteria;f__unclassified_Bacteria;g__unclassified_Bacteria;s__unclassified_Bacteria,unclassified Bacteria,unclassified Bacteria,unclassified Bacteria,R01130,IMP:NAD+ oxidoreductase,IMP + NAD+ + H2O <=> Xanthosine 5'-phosphate + NADH + H+,C00130 + C00003 + C00001 <=> C00655 + C00004 + C00080,C00130; C00003; C00001,C00655; C00004; C00080,C00130; C00003; C00001 [C10H13N4O8P | IMP; Inosinic acid; Inosine monophosphate; Inosine 5'-monophosphate; Inosine 5'-phosphate; 5'-Inosinate; 5'-Inosinic acid; 5'-Inosine monophosphate; 5'-IMP],C00655; C00004; C00080 [C10H13N4O9P | Xanthosine 5'-phosphate; Xanthylic acid; XMP; (9-D-Ribosylxanthine)-5'-phosphate],TRUE,Inosine-5'-monophosphate,Reactant,Inosine 5'-monophosphate
1.1.1.21,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Rhodopseudomonas;s__Rhodopseudomonas_sp._B29,Rhodopseudomonas,Rhodopseudomonas sp. B29,Rhodopseudomonas sp. B29,R01093,galactitol:NAD+ 1-oxidoreductase,D-Galactose + NADH + H+ <=> Galactitol + NAD+,C00124 + C00004 + C00080 <=> C01697 + C00003,C00124; C00004; C00080,C01697; C00003,C00124; C00004; C00080 [C6H12O6 | D-Galactose; D-Galactopyranose],C01697; C00003 [C6H14O6 | Galactitol; Dulcitol; Dulcose],TRUE,Dulcitol,Product,Dulcitol
1.1.1.21,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Rhodopseudomonas;s__Rhodopseudomonas_sp._B29,Rhodopseudomonas,Rhodopseudomonas sp. B29,Rhodopseudomonas sp. B29,R01095,galactitol:NADP+ 1-oxidoreductase,D-Galactose + NADPH + H+ <=> Galactitol + NADP+,C00124 + C00005 + C00080 <=> C01697 + C00006,C00124; C00005; C00080,C01697; C00006,C00124; C00005; C00080 [C6H12O6 | D-Galactose; D-Galactopyranose],C01697; C00006 [C6H14O6 | Galactitol; Dulcitol; Dulcose],TRUE,Dulcitol,Product,Dulcitol
1.1.1.21,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Rhodopseudomonas;s__Rhodopseudomonas_sp._B29,Rhodopseudomonas,Rhodopseudomonas sp. B29,Rhodopseudomonas sp. B29,R01758,L-arabitol:NAD+ 1-oxidoreductase,L-Arabitol + NAD+ <=> L-Arabinose + NADH + H+,C00532 + C00003 <=> C00259 + C00004 + C00080,C00532; C00003,C00259; C00004; C00080,C00532; C00003 [C5H12O5 | L-Arabitol; L-Arabinol; L-Arabinitol; L-Lyxitol],C00259; C00004; C00080 [C5H10O5 | L-Arabinose; L-Arabinopyranose],TRUE,L-Arabinitol,Reactant,L-Arabinitol
1.1.1.21,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Rhodopseudomonas;s__Rhodopseudomonas_sp._B29,Rhodopseudomonas,Rhodopseudomonas sp. B29,Rhodopseudomonas sp. B29,R01759,L-arabitol:NADP+ 1-oxidoreductase,L-Arabitol + NADP+ <=> L-Arabinose + NADPH + H+,C00532 + C00006 <=> C00259 + C00005 + C00080,C00532; C00006,C00259; C00005; C00080,C00532; C00006 [C5H12O5 | L-Arabitol; L-Arabinol; L-Arabinitol; L-Lyxitol],C00259; C00005; C00080 [C5H10O5 | L-Arabinose; L-Arabinopyranose],TRUE,L-Arabinitol,Reactant,L-Arabinitol
1.1.1.215,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__unclassified_Ktedonobacterales;g__unclassified_Ktedonobacterales;s__Ktedonobacterales_bacterium_ID150040,unclassified Ktedonobacterales,Ktedonobacterales bacterium ID150040,Ktedonobacterales bacterium ID150040,R01739,D-gluconate:NADP+ 2-oxidoreductase,D-Gluconic acid + NADP+ <=> 2-Keto-D-gluconic acid + NADPH + H+,C00257 + C00006 <=> C06473 + C00005 + C00080,C00257; C00006,C06473; C00005; C00080,C00257; C00006 [C6H12O7 | D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid],C06473; C00005; C00080 [C6H10O7 | 2-Keto-D-gluconic acid; 2-Dehydro-D-gluconate; 2-Dehydro-D-gluconic acid; alpha-D-arabino-2-Hexulosonic acid],TRUE,D-Gluconic acid,Reactant,D-Gluconic acid
1.1.1.219,k__Bacteria;p__Chloroflexi;c__unclassified_Chloroflexi;o__unclassified_Chloroflexi;f__unclassified_Chloroflexi;g__unclassified_Chloroflexi;s__Chloroflexi_bacterium_OLB15,unclassified Chloroflexi,Chloroflexi bacterium OLB15,Chloroflexi bacterium OLB15,R03636,leucocyanidin:NADP+ 4-oxidoreductase,Leucocyanidin + NADP+ <=> Taxifolin + NADPH + H+,C05906 + C00006 <=> C01617 + C00005 + C00080,C05906; C00006,C01617; C00005; C00080,"C05906; C00006 [C15H14O7 | Leucocyanidin; 2-(3,4-Dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,4,5,7-tetrol; 3,3',4,4',5,7-Flavanhexol; 3,4-Cyanidiol; Leucoanthocyanidol; Leucocianidol; Leucocyanidol; Leukocyanidine; Procyanidol; Resivit; 2,3-trans-3,4-cis-Leucocyanidin]",C01617; C00005; C00080 [C15H12O7 | Taxifolin; Dihydroquercetin; (+)-Dihydroquercetin; (+)-Taxifolin; trans-Dihydroquercetin],TRUE,Taxifolin,Product,Taxifolin
1.1.1.23,k__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae;g__Litorilinea;s__Litorilinea_aerophila,Litorilinea,Litorilinea aerophila,Litorilinea aerophila,R01158,L-histidinol:NAD+ oxidoreductase,L-Histidinol + 2 NAD+ + H2O <=> L-Histidine + 2 NADH + 2 H+,C00860 + 2 C00003 + C00001 <=> C00135 + 2 C00004 + 2 C00080,C00860; 2 C00003; C00001,C00135; 2 C00004; 2 C00080,C00860; 2 C00003; C00001 [C6H11N3O | L-Histidinol],C00135; 2 C00004; 2 C00080 [C6H9N3O2 | L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid],TRUE,L-Histidine,Product,L-Histidine
1.1.1.23,k__Bacteria;p__Chloroflexi;c__Caldilineae;o__Caldilineales;f__Caldilineaceae;g__Litorilinea;s__Litorilinea_aerophila,Litorilinea,Litorilinea aerophila,Litorilinea aerophila,R01163,L-histidinal:NAD+ oxidoreductase,L-Histidinal + H2O + NAD+ <=> L-Histidine + NADH + H+,C01929 + C00001 + C00003 <=> C00135 + C00004 + C00080,C01929; C00001; C00003,C00135; C00004; C00080,C01929; C00001; C00003 [C6H9N3O | L-Histidinal],C00135; C00004; C00080 [C6H9N3O2 | L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid],TRUE,L-Histidine,Product,L-Histidine
1.1.1.25,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__unclassified_Myxococcaceae;s__Myxococcaceae_bacterium,unclassified Myxococcaceae,Myxococcaceae bacterium,Myxococcaceae bacterium,R02413,shikimate:NADP+ 3-oxidoreductase,Shikimate + NADP+ <=> 3-Dehydroshikimate + NADPH + H+,C00493 + C00006 <=> C02637 + C00005 + C00080,C00493; C00006,C02637; C00005; C00080,"C00493; C00006 [C7H10O5 | Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid]",C02637; C00005; C00080 [C7H8O5 | 3-Dehydroshikimate],TRUE,Shikimic Acid,Reactant,Shikimic acid
1.1.1.27,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_genosp._L,Bradyrhizobium,Bradyrhizobium genosp. L,Bradyrhizobium genosp. L,R01000,2-hydroxybutyrate:NAD+ oxidoreductase,2-Hydroxybutanoic acid + NAD+ <=> 2-Oxobutanoate + NADH + H+,C05984 + C00003 <=> C00109 + C00004 + C00080,C05984; C00003,C00109; C00004; C00080,C05984; C00003 [C4H8O3 | 2-Hydroxybutanoic acid; 2-Hydroxybutyrate; 2-Hydroxybutyric acid; (S)-2-Hydroxybutanoate; (2S)-2-Hydroxybutanoic acid],C00109; C00004; C00080 [C4H6O3 | 2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate],TRUE,2-Hydroxybutyric acid,Reactant,2-Hydroxybutyric acid
1.1.1.34,k__Bacteria;p__Verrucomicrobia;c__unclassified_Verrucomicrobia;o__unclassified_Verrucomicrobia;f__unclassified_Verrucomicrobia;g__unclassified_Verrucomicrobia;s__Verrucomicrobia_bacterium,unclassified Verrucomicrobia,Verrucomicrobia bacterium,Verrucomicrobia bacterium,R02082,(R)-mevalonate:NADP+ oxidoreductase (CoA acylating),(R)-Mevalonate + CoA + 2 NADP+ <=> (S)-3-Hydroxy-3-methylglutaryl-CoA + 2 NADPH + 2 H+,C00418 + C00010 + 2 C00006 <=> C00356 + 2 C00005 + 2 C00080,C00418; C00010; 2 C00006,C00356; 2 C00005; 2 C00080,"C00418; C00010; 2 C00006 [C6H12O4 | (R)-Mevalonate; Mevalonic acid; 3,5-Dihydroxy-3-methylvaleric acid; (3R)-3,5-Dihydroxy-3-methylpentanoic acid; (R)-Mevalonic acid]",C00356; 2 C00005; 2 C00080 [C27H44N7O20P3S | (S)-3-Hydroxy-3-methylglutaryl-CoA; Hydroxymethylglutaryl-CoA; Hydroxymethylglutaroyl coenzyme A; HMG-CoA; 3-Hydroxy-3-methylglutaryl-CoA],TRUE,Mevalonic acid,Reactant,Mevalonic acid
1.1.1.37,k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__unclassified_Anaerolineae;f__unclassified_Anaerolineae;g__unclassified_Anaerolineae;s__Anaerolineae_bacterium_UTCFX2,unclassified Anaerolineae,Anaerolineae bacterium UTCFX2,Anaerolineae bacterium UTCFX2,R00342,(S)-malate:NAD+ oxidoreductase,(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+,C00149 + C00003 <=> C00036 + C00004 + C00080,C00149; C00003,C00036; C00004; C00080,C00149; C00003 [C4H6O5 | (S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid],C00036; C00004; C00080 [C4H4O5 | Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxaloacetate],TRUE,L(-)-Malic acid,Reactant,L-Malic acid
1.1.1.38,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium_icense,Bradyrhizobium,Bradyrhizobium icense,Bradyrhizobium icense,R00214,(S)-malate:NAD+ oxidoreductase (decarboxylating),(S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+,C00149 + C00003 <=> C00022 + C00011 + C00004 + C00080,C00149; C00003,C00022; C00011; C00004; C00080,C00149; C00003 [C4H6O5 | (S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid],C00022; C00011; C00004; C00080 [C3H4O3 | Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid],TRUE,L(-)-Malic acid,Reactant,L-Malic acid
1.1.1.39,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__unclassified_Alphaproteobacteria;f__unclassified_Alphaproteobacteria;g__unclassified_Alphaproteobacteria;s__Alphaproteobacteria_bacterium,unclassified Alphaproteobacteria,Alphaproteobacteria bacterium,Alphaproteobacteria bacterium,R00214,(S)-malate:NAD+ oxidoreductase (decarboxylating),(S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+,C00149 + C00003 <=> C00022 + C00011 + C00004 + C00080,C00149; C00003,C00022; C00011; C00004; C00080,C00149; C00003 [C4H6O5 | (S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid],C00022; C00011; C00004; C00080 [C3H4O3 | Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid],TRUE,L(-)-Malic acid,Reactant,L-Malic acid
1.1.1.399,k__Bacteria;p__unclassified_Bacteria;c__unclassified_Bacteria;o__unclassified_Bacteria;f__unclassified_Bacteria;g__unclassified_Bacteria;s__bacterium_HR31,unclassified Bacteria,bacterium HR31,bacterium HR31,R11337,(R)-2-hydroxyglutarate:NAD+ 2-oxidireductase,(R)-2-Hydroxyglutarate + NAD+ <=> 2-Oxoglutarate + NADH + H+,C01087 + C00003 <=> C00026 + C00004 + C00080,C01087; C00003,C00026; C00004; C00080,C01087; C00003 [C5H8O5 | (R)-2-Hydroxyglutarate; (R)-Hydroxyglutarate],C00026; C00004; C00080 [C5H6O5 | 2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid],TRUE,alpha-Ketoglutaric acid,Product,alpha-Ketoglutaric acid
